S .no,product_id,product_name,category_id,brand,price,stock_quantity
,1,Smartphone,1,Dell,7615.4,249
,2,Tablet,1,Samsung,26806.69,148
,3,Smart TV,1,Samsung,40193,220
,4,Smartphone,1,Sony,30856.88,391
,5,Tablet,1,Samsung,10774.23,205
,6,Laptop,1,Samsung,38173.17,80
,7,Smartphone,1,Apple,15245.93,472
,8,Smart TV,1,Samsung,6364.99,431
,9,Smart TV,1,Dell,25912.4,231
,10,Smartphone,1,Dell,36407.99,390
,11,Tablet,1,Sony,29974.52,102
,12,Laptop,1,Apple,45394.49,217
,13,Tablet,1,Dell,36714.01,389
,14,Laptop,1,Samsung,46500.77,319
,15,Smartphone,1,Sony,387.16,373
,16,Smartphone,1,Apple,15811.93,155
,17,Smart TV,1,Apple,5513.94,443
,18,Smartphone,1,Sony,45124.82,165
,19,Smart TV,1,Apple,24481.16,448
,20,Tablet,1,Dell,37164.94,482
,21,Smart TV,1,Samsung,4027.82,380
,22,Smart TV,1,Sony,36923.51,393
,23,Tablet,1,Apple,22335.02,213
,24,Tablet,1,Sony,45954.48,167
,25,Smart TV,1,Sony,42931.31,268
,26,Laptop,1,Dell,44854.64,445
,27,Smart TV,1,Dell,12338.71,196
,28,Smart TV,1,Apple,3706.95,284
,29,Laptop,1,Samsung,8233.09,140
,30,Laptop,1,Apple,8820.57,407
,31,Tablet,1,Apple,28781.95,472
,32,Tablet,1,Samsung,3782.74,150
,33,Smart TV,1,Apple,48847.87,52
,34,Tablet,1,Apple,48203.13,456
,35,Laptop,1,Dell,8822.11,154
,36,Smartphone,1,Dell,36486.74,165
,37,Smartphone,1,Dell,32394.95,96
,38,Smartphone,1,Dell,20951.27,435
,39,Smartphone,1,Sony,46686.02,149
,40,Smart TV,1,Samsung,1094.43,223
,41,Smart TV,1,Sony,45984.25,377
,42,Smartphone,1,Apple,20038.05,398
,43,Smart TV,1,Sony,13099.4,494
,44,Tablet,1,Apple,35445.42,160
,45,Smart TV,1,Samsung,42164.59,398
,46,Smartphone,1,Sony,23496.7,100
,47,Laptop,1,Sony,10582.76,299
,48,Smart TV,1,Samsung,15941.12,82
,49,Tablet,1,Sony,13220.06,56
,50,Laptop,1,Dell,44946.37,271
,51,Laptop,1,Apple,4885.94,183
,52,Laptop,1,Dell,18338.5,443
,53,Smart TV,1,Apple,19315.28,272
,54,Smart TV,1,Samsung,25316.23,415
,55,Smart TV,1,Samsung,30115.1,433
,56,Laptop,1,Samsung,32094.18,170
,57,Tablet,1,Samsung,15377.72,179
,58,Laptop,1,Dell,49504.94,314
,59,Laptop,1,Sony,49256.42,141
,60,Tablet,1,Apple,49724.92,241
,61,Smartphone,1,Apple,35165.78,123
,62,Smartphone,1,Samsung,45306.08,64
,63,Tablet,1,Dell,46572.86,487
,64,Smart TV,1,Samsung,44215.44,176
,65,Laptop,1,Dell,45056.28,290
,66,Smartphone,1,Dell,18476.55,467
,67,Smart TV,1,Samsung,26432.7,158
,68,Smartphone,1,Apple,33663.04,398
,69,Smart TV,1,Dell,44937.09,393
,70,Tablet,1,Dell,26751.62,300
,71,Laptop,1,Dell,9564.31,422
,72,Tablet,1,Sony,46197.51,467
,73,Laptop,1,Samsung,34630.57,258
,74,Smartphone,1,Sony,33368.93,205
,75,Smartphone,1,Dell,193.98,293
,76,Tablet,1,Dell,49219.63,466
,77,Tablet,1,Samsung,24804.01,122
,78,Tablet,1,Apple,12962.86,74
,79,Smartphone,1,Apple,40876.41,130
,80,Tablet,1,Apple,9978.37,399
,81,Laptop,1,Dell,13793.65,39
,82,Smart TV,1,Dell,44097.17,455
,83,Smart TV,1,Apple,39205.35,39
,84,Smart TV,1,Dell,8501.14,374
,85,Tablet,1,Apple,46739.22,376
,86,Tablet,1,Samsung,24141.94,61
,87,Smartphone,1,Dell,24746.23,278
,88,Tablet,1,Sony,3605.21,231
,89,Tablet,1,Sony,29013.57,349
,90,Smart TV,1,Apple,4064.55,185
,91,Smartphone,1,Sony,10121.15,261
,92,Smartphone,1,Dell,13657.34,346
,93,Tablet,1,Samsung,30348.6,306
,94,Smartphone,1,Samsung,5797.11,238
,95,Smart TV,1,Sony,1560.14,101
,96,Smart TV,1,Dell,47227.44,236
,97,Smart TV,1,Samsung,6154.01,102
,98,Smart TV,1,Apple,850.22,307
,99,Tablet,1,Dell,43998.62,482
,100,Tablet,1,Apple,48222.69,371
,101,Shirt,2,H&M,48454.61,285
,102,Jeans,2,Zara,14341.23,316
,103,T-Shirt,2,H&M,40401.82,71
,104,T-Shirt,2,H&M,11896.3,176
,105,Jeans,2,Zara,25633.8,466
,106,Shirt,2,H&M,19434.85,215
,107,Dress,2,Puma,21885.5,445
,108,Dress,2,Puma,1614.51,479
,109,T-Shirt,2,Zara,17905.62,355
,110,Shirt,2,Levis,8202,137
,111,Shirt,2,Zara,33382.07,156
,112,Dress,2,Puma,17682.88,104
,113,Shirt,2,Puma,16235.14,368
,114,T-Shirt,2,Puma,40457.15,238
,115,Jeans,2,H&M,17518.56,127
,116,Dress,2,Zara,9809.19,405
,117,Jeans,2,Puma,33586.97,334
,118,Jeans,2,Puma,48676.55,353
,119,Jeans,2,Levis,8708.4,232
,120,Jeans,2,Levis,45774.03,178
,121,T-Shirt,2,H&M,41904.62,28
,122,T-Shirt,2,Levis,35153.92,221
,123,Jeans,2,Zara,14853.05,152
,124,Dress,2,Levis,27894.07,288
,125,Jeans,2,Puma,28188.16,288
,126,Jeans,2,H&M,23347.05,47
,127,Dress,2,Levis,24310.87,215
,128,Dress,2,H&M,6706.86,487
